Date,Calories (kcal),Heart Points,Heart Minutes,Step count,Distance (m),Average speed (m/s),Max speed (m/s),Min speed (m/s),Move Minutes count,Inactive duration (ms),Walking duration (ms)
7/28/20,2098.572707,102,76,14725,10500.68145,0.960155562,1.875927687,0.25701496,149,79281713,7118287
7/29/20,2198.755379,131,105,18782,13590.87981,0.89010073,2.046464443,0.269530803,178,77166444,8552152
7/30/20,2466.391113,191,122,21734,15955.46859,0.892490222,2.128257275,0.239872098,207,64101214,12344619
7/31/20,1833.260258,50,32,7179,5037.839401,1.144706325,2.138263226,0.256565362,76,81403996,3028372
8/1/20,1707.734237,2,2,2122,1288.409334,0.597395622,1.713353872,0.256760061,25,81915497,1088925
8/2/20,1854.520044,45,45,6567,4831.04302,0.672725781,1.67432487,0.25701496,57,82747311,2784417
8/3/20,2014.337507,99,70,12082,8737.841549,0.807541602,1.842297196,0.267774493,111,79200039,5182884
8/4/20,2363.266924,210,122,20219,15234.09983,0.845702713,2.006029367,0.278432846,182,68843582,10781328
8/5/20,1898.361902,76,56,9247,6732.592098,0.936953452,1.808037758,0.25701496,87,81285313,3706113
8/6/20,1783.05473,41,28,5577,3936.55339,0.626400946,1.996580005,0.252139241,53,82701117,2048992
8/7/20,1920.592134,59,34,8812,6075.649469,0.799353158,1.895084977,0.25701496,98,75047798,4078537
8/8/20,1791.542872,17,13,4302,2852.343426,0.635201836,1.804322004,0.240999788,48,74621933,2399870
8/9/20,1653.377353,,,542,309.4602747,0.88564828,1.083457708,0.629286885,6,86158689,241311
8/10/20,1945.227716,96,58,9468,6954.950715,0.622634023,1.849975944,0.25701496,84,80307796,4501008
8/11/20,1950.836217,108,62,9793,7380.286452,0.872768911,1.902678013,0.246171013,83,81153145,4575376
8/12/20,1896.532862,54,32,8068,5704.63577,0.805112232,2.071900606,0.245983899,81,79680339,3468702
8/13/20,2153.522122,165,99,16430,12230.2578,0.932093318,1.90961051,0.274852246,150,78251740,7614124
8/14/20,1845.09162,17,15,8234,5331.156054,0.836457388,1.808698177,0.241041407,112,76493549,3222033
8/15/20,2060.014228,99,79,12151,8994.072835,1.211031763,1.847682953,0.256468982,109,78549200,6444545
8/16/20,1739.437678,11,11,4070,2629.201361,0.788295906,1.79235673,0.25701496,51,77219385,1585320
8/17/20,1832.649072,63,41,6372,4708.949042,0.658250279,1.858109236,0.267723888,51,83354622,3045378
8/18/20,2204.967948,97,60,11311,8214.002214,1.061726268,1.900832534,0.278432846,108,73940302,8715927
8/19/20,1853.23892,67,42,7934,5627.025431,0.687657284,1.847683549,0.25701496,74,82420955,3368352
8/20/20,1681.844078,,,1401,756.6041269,0.703674391,1.28060627,0.289141834,18,85524954,686989
8/21/20,1766.088385,31,20,3752,2626.391391,1.089852013,2.151996613,0.253110051,34,83608219,1813479
8/22/20,1830.935937,74,44,6699,4943.118636,0.661040464,1.794810772,0.28731665,55,83016422,2974579
8/23/20,2064.648605,106,72,12310,8395.361455,1.04348615,1.877373815,0.257364064,112,78583212,6504299
8/24/20,2326.869137,219,122,18955,14431.36468,1.05754775,1.953741789,0.245440096,160,76243558,10096371
8/25/20,1855.635246,33,22,7377,4967.701339,0.957681138,1.846075892,0.252484918,88,74803407,3370951
8/26/20,2027.456514,8,6,5562,3434.780585,0.733120958,1.847298026,0.245333567,66,80124030,6094486
8/27/20,2175.831701,174,98,16366,12299.92185,0.870296017,1.893946409,0.244810015,147,72926164,7901282
8/28/20,2003.876322,111,62,11432,8434.954689,0.726900012,1.846441984,0.26782918,104,74788154,5598408
8/29/20,1637.964054,,,104,35.08605778,0.467336446,0.467336446,0.467336446,,86400000,
